idacidente;longitude;latitude;data;hora;log1;log2;predial1;regiao;tipo_acid;tipo_veic;dia_sem;periododia;sit_vitima;sexo;idade;fx_et;fatais
684954;-51,15059043;-30,04884291;28/07/2021;20:25:00;R ALA;R BOM JESUS;667;LESTE;ABALROAMENTO;AUTOMÓVEL;QUARTA-FEIRA;NOITE;CONDUTOR;MASCULINO;31;26 A 35;0
648849;-51,234574;-30,030686;24/04/2018;12:01:00;R SETE DE SETEMBRO;;586;CENTRO;ATROPELAMENTO;;TERÇA-FEIRA;TARDE;PEDESTRE;FEMININO;18;18 A 25;0
678934;-51,15697117;-30,02283988;20/01/2021;18:00:00;AV FERDINAND KISSLINGER;;0;NORTE;ABALROAMENTO;MOTOCICLETA;QUARTA-FEIRA;NOITE;CONDUTOR;MASCULINO;33;26 A 35;0
693442;-51,17878547;-30,15528957;19/03/2022;12:15:00;AV EDGAR PIRES DE CASTRO;;1286;SUL;NAO CADASTRADO;MOTOCICLETA;SÁBADO;TARDE;CONDUTOR;MASCULINO;27;26 A 35;0
651689;-51,130227;-29,998348;05/09/2018;02:45:00;R ZEFERINO DIAS;;840;NORTE;ABALROAMENTO;MOTOCICLETA;QUARTA-FEIRA;MADRUGADA;CONDUTOR;MASCULINO;24;18 A 25;0
717165;-51,2043264;-30,01833091;06/03/2023;09:30:00;R FELIX DA CUNHA;R ALMIRANTE TAMANDARE;;NORTE;ABALROAMENTO;AUTOMÓVEL;SEGUNDA-FEIRA;MANHÃ;OCUPANTE;FEMININO;;NI;0
701906;-51,12271511;-29,97825067;22/10/2022;15:30:00;AV BERNARDINO SILVEIRA DE AMORIM;;625;NORTE;NAO CADASTRADO;;SÁBADO;TARDE;NAOINFORMADO;MASCULINO;34;26 A 35;0
692347;-51,24327482;-30,10934824;25/01/2022;20:40:00;R DR PEREIRA NETO;;915;SUL;CHOQUE;AUTOMÓVEL;TERÇA-FEIRA;NOITE;CONDUTOR;MASCULINO;;NI;0
685251;-51,13671834;-30,00426221;28/07/2021;07:50:00;AV ASSIS BRASIL;R BADEN POWELL;5193;NORTE;COLISÃO;MOTOCICLETA;QUARTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;;NI;0
731544;-51,21394752;-30,06427876;13/06/2023;06:10:00;R OSCAR SCHNEIDER;;;SUL;COLISÃO;MOTOCICLETA;TERÇA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;26;26 A 35;0
